order_id,order_date,customer_id,product,category,region,quantity,unit_price,total_price,discount,net_revenue,payment_method
ORD1000,2023-01-01,CUST0280,Wireless Headphones,Electronics,West,2,115.96,231.92,0.0,231.92,Credit Card
ORD1001,2023-01-02,CUST0288,Bluetooth Speaker,Electronics,North,2,118.8,237.6,0.0,237.6,PayPal
ORD1002,2023-01-02,CUST0004,Desk Lamp,Home,South,4,57.14,228.56,0.0,228.56,PayPal
ORD1003,2023-01-02,CUST0053,Hoodie,Clothing,South,2,25.56,51.12,0.0,51.12,Credit Card
ORD1004,2023-01-02,CUST0236,Denim Jeans,Clothing,North,3,50.03,150.09,0.0,150.09,Credit Card
ORD1005,2023-01-03,CUST0099,Desk Lamp,Home,South,5,80.84,404.2,0.0,404.2,Credit Card
ORD1006,2023-01-04,CUST0233,Backpack,Accessories,Central,2,79.99,159.98,0.0,159.98,Debit Card
ORD1007,2023-01-04,CUST0037,Running Shoes,Footwear,South,2,132.18,264.36,0.0,264.36,PayPal
ORD1008,2023-01-05,CUST0286,Running Shoes,Footwear,East,3,178.48,535.44,0.0,535.44,PayPal
ORD1009,2023-01-05,CUST0138,Sunglasses,Accessories,West,1,32.18,32.18,0.11,28.64,Credit Card
ORD1010,2023-01-06,CUST0235,Sunglasses,Accessories,North,4,44.67,178.68,0.0,178.68,PayPal
ORD1011,2023-01-06,CUST0220,Water Bottle,Sports,North,5,71.59,357.95,0.0,357.95,Bank Transfer
ORD1012,2023-01-06,CUST0057,Cotton T-Shirt,Clothing,North,2,44.1,88.2,0.06,82.91,PayPal
ORD1013,2023-01-06,CUST0240,Running Shoes,Footwear,West,4,121.48,485.92,0.0,485.92,Debit Card
ORD1014,2023-01-06,CUST0137,Desk Lamp,Home,Central,1,64.42,64.42,0.23,49.6,Debit Card
ORD1015,2023-01-07,CUST0135,Hoodie,Clothing,North,1,72.09,72.09,0.0,72.09,PayPal
ORD1016,2023-01-07,CUST0102,Blender,Kitchen,Central,3,215.17,645.51,0.0,645.51,PayPal
ORD1017,2023-01-07,CUST0001,Cotton T-Shirt,Clothing,West,5,72.07,360.35,0.0,360.35,Debit Card
ORD1018,2023-01-08,CUST0291,USB-C Hub,Electronics,Central,3,120.84,362.52,0.0,362.52,Credit Card
ORD1019,2023-01-09,CUST0282,Laptop Stand,Electronics,Central,5,278.75,1393.75,0.15,1184.69,PayPal
ORD1020,2023-01-09,CUST0277,Water Bottle,Sports,East,5,59.43,297.15,0.0,297.15,PayPal
ORD1021,2023-01-09,CUST0062,Backpack,Accessories,South,3,47.86,143.58,0.0,143.58,PayPal
ORD1022,2023-01-09,CUST0113,Protein Powder,Health,North,1,55.3,55.3,0.0,55.3,Credit Card
ORD1023,2023-01-10,CUST0249,Protein Powder,Health,North,1,71.58,71.58,0.1,64.42,PayPal
ORD1024,2023-01-11,CUST0098,Throw Pillow,Home,East,2,72.77,145.54,0.0,145.54,Credit Card
ORD1025,2023-01-11,CUST0028,USB-C Hub,Electronics,East,3,176.07,528.21,0.0,528.21,Credit Card
ORD1026,2023-01-12,CUST0217,Sunglasses,Accessories,West,1,33.65,33.65,0.14,28.94,PayPal
ORD1027,2023-01-12,CUST0282,Water Bottle,Sports,East,1,61.53,61.53,0.0,61.53,Credit Card
ORD1028,2023-01-12,CUST0122,Bluetooth Speaker,Electronics,East,5,299.81,1499.05,0.0,1499.05,PayPal
ORD1029,2023-01-12,CUST0085,Hoodie,Clothing,East,2,66.47,132.94,0.0,132.94,Bank Transfer
ORD1030,2023-01-13,CUST0285,Water Bottle,Sports,Central,4,44.95,179.8,0.0,179.8,Bank Transfer
ORD1031,2023-01-13,CUST0278,Mechanical Keyboard,Electronics,North,2,339.61,679.22,0.0,679.22,Credit Card
ORD1032,2023-01-13,CUST0272,Sunglasses,Accessories,North,5,50.76,253.8,0.0,253.8,PayPal
ORD1033,2023-01-13,CUST0121,Bluetooth Speaker,Electronics,Central,1,304.4,304.4,0.06,286.14,Bank Transfer
ORD1034,2023-01-14,CUST0299,Protein Powder,Health,East,1,57.16,57.16,0.0,57.16,Debit Card
ORD1035,2023-01-14,CUST0154,Water Bottle,Sports,North,3,40.06,120.18,0.0,120.18,Bank Transfer
ORD1036,2023-01-14,CUST0289,Sunglasses,Accessories,Central,1,15.7,15.7,0.0,15.7,Credit Card
ORD1037,2023-01-14,CUST0036,Laptop Stand,Electronics,East,5,128.56,642.8,0.0,642.8,PayPal
ORD1038,2023-01-14,CUST0271,Cotton T-Shirt,Clothing,South,4,64.53,258.12,0.0,258.12,Credit Card
ORD1039,2023-01-15,CUST0055,Backpack,Accessories,Central,1,85.42,85.42,0.07,79.44,PayPal
ORD1040,2023-01-15,CUST0136,Water Bottle,Sports,South,2,90.35,180.7,0.0,180.7,Bank Transfer
ORD1041,2023-01-15,CUST0142,Water Bottle,Sports,Central,1,24.69,24.69,0.0,24.69,Credit Card
ORD1042,2023-01-15,CUST0227,Wireless Headphones,Electronics,South,2,240.13,480.26,0.0,480.26,Bank Transfer
ORD1043,2023-01-15,CUST0077,Desk Lamp,Home,North,1,85.6,85.6,0.0,85.6,Credit Card
ORD1044,2023-01-16,CUST0021,Throw Pillow,Home,East,4,20.2,80.8,0.0,80.8,Debit Card
ORD1045,2023-01-16,CUST0209,Yoga Mat,Sports,West,1,52.14,52.14,0.0,52.14,PayPal
ORD1046,2023-01-16,CUST0171,Protein Powder,Health,Central,2,72.88,145.76,0.2,116.61,Bank Transfer
ORD1047,2023-01-17,CUST0103,Water Bottle,Sports,North,1,55.17,55.17,0.14,47.45,Bank Transfer
ORD1048,2023-01-17,CUST0205,Cotton T-Shirt,Clothing,South,2,26.04,52.08,0.0,52.08,Debit Card
ORD1049,2023-01-18,CUST0275,Water Bottle,Sports,South,5,56.97,284.85,0.0,284.85,Debit Card
ORD1050,2023-01-19,CUST0177,Water Bottle,Sports,North,3,19.02,57.06,0.0,57.06,Debit Card
ORD1051,2023-01-20,CUST0267,Blender,Kitchen,North,5,71.82,359.1,0.14,308.83,PayPal
ORD1052,2023-01-20,CUST0064,Cotton T-Shirt,Clothing,South,3,51.26,153.78,0.0,153.78,Debit Card
ORD1053,2023-01-20,CUST0284,Blender,Kitchen,South,4,101.76,407.04,0.0,407.04,PayPal
ORD1054,2023-01-20,CUST0292,Yoga Mat,Sports,South,4,86.12,344.48,0.0,344.48,Debit Card
ORD1055,2023-01-20,CUST0297,Denim Jeans,Clothing,East,1,31.14,31.14,0.0,31.14,Debit Card
ORD1056,2023-01-21,CUST0087,Coffee Maker,Kitchen,West,5,134.1,670.5,0.0,670.5,Credit Card
ORD1057,2023-01-21,CUST0121,Backpack,Accessories,East,5,40.14,200.7,0.0,200.7,Debit Card
ORD1058,2023-01-21,CUST0244,Protein Powder,Health,West,2,21.47,42.94,0.0,42.94,Credit Card
ORD1059,2023-01-21,CUST0254,Coffee Maker,Kitchen,South,5,72.78,363.9,0.0,363.9,Bank Transfer
ORD1060,2023-01-22,CUST0266,Wireless Headphones,Electronics,Central,1,282.53,282.53,0.0,282.53,Bank Transfer
ORD1061,2023-01-22,CUST0272,Bluetooth Speaker,Electronics,East,1,185.94,185.94,0.0,185.94,Debit Card
ORD1062,2023-01-23,CUST0229,Wall Clock,Home,West,5,44.14,220.7,0.0,220.7,PayPal
ORD1063,2023-01-23,CUST0267,Air Fryer,Kitchen,East,2,214.77,429.54,0.0,429.54,Bank Transfer
ORD1064,2023-01-23,CUST0172,Protein Powder,Health,South,1,62.81,62.81,0.0,62.81,Debit Card
ORD1065,2023-01-23,CUST0110,Desk Lamp,Home,North,2,28.5,57.0,0.0,57.0,Credit Card
ORD1066,2023-01-24,CUST0200,Sunglasses,Accessories,East,4,19.67,78.68,0.0,78.68,Credit Card
ORD1067,2023-01-24,CUST0200,Throw Pillow,Home,South,1,85.42,85.42,0.0,85.42,Bank Transfer
ORD1068,2023-01-24,CUST0250,Desk Lamp,Home,West,5,73.99,369.95,0.0,369.95,PayPal
ORD1069,2023-01-24,CUST0208,Water Bottle,Sports,South,1,55.83,55.83,0.0,55.83,PayPal
ORD1070,2023-01-25,CUST0289,Mechanical Keyboard,Electronics,Central,5,57.09,285.45,0.0,285.45,Credit Card
